Sr. no.,start_date_local,type,distance,moving_time,elapsed_time,total_elevation_gain,start_latlng,end_latlng,sport_type,start_date,timezone,achievement_count,kudos_count,comment_count,athlete_count,photo_count,average_speed,max_speed
70,2022-12-21T14:20:42Z,Run,21792.6,9275,9323,151.1,"[39.25281196832657, -76.71344169415534]","[39.25343122333288, -76.71498136594892]",Run,2022-12-21T19:20:42Z,(GMT-05:00) America/New_York,3,0,0,1,0,2.35,4.442
71,2022-12-03T15:41:28Z,Run,13223.8,5828,6081,118.6,"[39.27253047935665, -76.69633464887738]","[39.25424485467374, -76.70615639537573]",Run,2022-12-03T20:41:28Z,(GMT-05:00) America/New_York,1,1,0,1,0,2.269,3.56
72,2022-11-23T06:31:44Z,Run,13194.5,5838,5905,161.7,"[39.27252192981541, -76.69639348983765]","[39.252744913101196, -76.70849385671318]",Run,2022-11-23T11:31:44Z,(GMT-05:00) America/New_York,5,1,0,1,0,2.26,3.506
73,2022-11-13T07:54:52Z,Walk,570.7,255,255,0,"[39.251993810757995, -76.70930849388242]","[39.25326534546912, -76.70722374692559]",Walk,2022-11-13T12:54:52Z,(GMT-05:00) America/New_York,0,0,0,1,0,2.238,3.73
74,2022-11-13T06:59:20Z,Run,6934.9,2965,3021,76.6,"[39.272521, -76.696334]","[39.252674, -76.708679]",Run,2022-11-13T11:59:20Z,(GMT-05:00) America/New_York,4,0,0,1,0,2.339,3.5
75,2022-10-15T11:04:34Z,Walk,1053.6,855,1699,6.6,"[39.28653035312891, -76.61675987765193]","[39.28631284274161, -76.6237744409591]",Walk,2022-10-15T15:04:34Z,(GMT-05:00) America/New_York,0,0,0,1,0,1.232,5.515
76,2022-10-15T08:03:03Z,Run,10334.2,3865,3888,100.4,"[39.283188823610544, -76.62045110017061]","[39.286541165784, -76.61391656845808]",Run,2022-10-15T12:03:03Z,(GMT-05:00) America/New_York,7,0,0,17,0,2.658,5.218
77,2022-10-13T11:48:24Z,Workout,0,8575,8575,0,[],[],Workout,2022-10-13T11:48:24Z,(GMT+00:00) GMT,0,0,0,1,0,0,0
78,2022-10-09T07:52:32Z,Run,5145,2282,2593,64,"[39.27249435335398, -76.69637680985034]","[39.272465938702226, -76.69636432081461]",Run,2022-10-09T11:52:32Z,(GMT-05:00) America/New_York,0,0,0,1,0,2.255,3.244
79,2022-10-07T11:57:31Z,Workout,0,8293,8293,0,[],[],Workout,2022-10-07T11:57:31Z,(GMT+00:00) GMT,0,0,0,1,0,0,0
80,2022-09-18T07:13:06Z,Run,10352.6,4138,4471,88.1,"[39.27250097505748, -76.6963196452707]","[39.25348344258964, -76.70741032809019]",Run,2022-09-18T11:13:06Z,(GMT-05:00) America/New_York,15,0,0,1,0,2.502,4.066
81,2022-09-07T07:03:40Z,Run,10255.8,4421,4664,124.7,"[39.27251044660807, -76.69633540324867]","[39.27221448160708, -76.69462943449616]",Run,2022-09-07T11:03:40Z,(GMT-05:00) America/New_York,4,0,0,1,0,2.32,3.8
82,2022-09-02T11:54:10Z,Workout,0,5181,5181,0,[],[],Workout,2022-09-02T11:54:10Z,(GMT+00:00) GMT,0,0,0,1,0,0,0
83,2022-09-01T11:42:46Z,Workout,0,8646,8646,0,[],[],Workout,2022-09-01T11:42:46Z,(GMT+00:00) GMT,0,0,0,1,0,0,0
