country,fulltitle,country_OEL,continent,continent_OEL,Situational,panel#,runs,amount,length,averagelength,maxlength,proportion,Frequency,PanelProportion,averagelength%,maxlength%
France,Notre Dame - Le Jour des Fous,France,Europe,Europe,Character,314,37,22,59,2.681818182,11,18.78980892,0.070063694,0.187898089,0.008540822,0.035031847
France,Percy Shelley,France,Europe,Europe,Character,146,32,18,50,2.777777778,7,34.24657534,0.123287671,0.342465753,0.019025875,0.047945205
France,Pietrolino,France,Europe,Europe,Character,147,20,13,33,2.538461538,4,22.44897959,0.088435374,0.224489796,0.017268446,0.027210884
France,Screaming Planet - Eucharist Sun,France,Europe,Europe,Character,54,18,10,28,2.8,4,51.85185185,0.185185185,0.518518519,0.051851852,0.074074074
France,Screaming Planet - The Guilt,France,Europe,Europe,Character,94,29,17,46,2.705882353,8,48.93617021,0.180851064,0.489361702,0.028785982,0.085106383
France,Screaming Planet - The Invasion,France,Europe,Europe,Character,158,40,27,67,2.481481481,6,42.40506329,0.170886076,0.424050633,0.015705579,0.037974684
France,Screaming Planet - The Last Word,France,Europe,Europe,Character,36,5,3,8,2.666666667,4,22.22222222,0.083333333,0.222222222,0.074074074,0.111111111
France,Skipper - Somalia,France,Europe,Europe,Character,151,32,16,48,3,8,31.78807947,0.105960265,0.317880795,0.01986755,0.052980132
France,Trans-Amazonie - La Chute du Masque,France,Europe,Europe,Character,149,25,15,40,2.666666667,5,26.84563758,0.100671141,0.268456376,0.017897092,0.033557047
France,Tsunami,France,Europe,Europe,Character,93,19,8,27,3.375,8,29.03225806,0.086021505,0.290322581,0.036290323,0.086021505
France,Une Folie Tr.s Ordinaire,France,Europe,Europe,Character,182,68,31,99,3.193548387,8,54.3956044,0.17032967,0.543956044,0.017546969,0.043956044
Germany,Larry Potter,Germany,Europe,Europe,Character,152,86,25,111,4.44,18,73.02631579,0.164473684,0.730263158,0.029210526,0.118421053
Germany,Die Band,Germany,Europe,Europe,Character,310,69,34,103,3.029411765,7,33.22580645,0.109677419,0.332258065,0.009772296,0.022580645
Germany,Fix und Foxi,Germany,Europe,Europe,Character,151,42,23,65,2.826086957,10,43.04635762,0.152317881,0.430463576,0.018715808,0.066225166
Germany,K.nig Kobra,Germany,Europe,Europe,Character,155,34,24,58,2.416666667,5,37.41935484,0.15483871,0.374193548,0.015591398,0.032258065
Germany,Moga Mobo,Germany,Europe,Europe,Character,441,95,57,152,2.666666667,6,34.46712018,0.129251701,0.344671202,0.006046863,0.013605442
Germany,Mulle - Das Beliebteste Pferd der Welt,Germany,Europe,Europe,Character,5,1,1,2,2,2,40,0.2,0.4,0.4,0.4
Germany,Mulle - Das geplagteste Pferd der Welt,Germany,Europe,Europe,Character,5,3,1,4,4,4,80,0.2,0.8,0.8,0.8
Germany,Mulle - Das lauteste Pferd der Welt,Germany,Europe,Europe,Character,5,2,2,4,2,2,80,0.4,0.8,0.4,0.4
Germany,Mulle - Das sportlichste Pferd der Welt,Germany,Europe,Europe,Character,5,2,1,3,3,3,60,0.2,0.6,0.6,0.6
Germany,Mulle - das Teufelspferd,Germany,Europe,Europe,Character,19,13,4,17,4.25,7,89.47368421,0.210526316,0.894736842,0.223684211,0.368421053
