country;fulltitle;country_OEL;continent;continent_OEL;panel#;charruns;charrunamount;charlength;charaveragelength;charmaxlength;charproportion;locationruns;locrunamount;loclength;locaveragelength;locmaxlength;locproportion;timeruns;timerunamount;timelength;timeaveragelength;timemaxlength;timeproportion;continuityruns;continuityrunamount;continuitylength;continuityaveragelength;continuitymaxlength;continuityproportion;discontinuity;discontinuityrunamount;discontinuitylength;discontinuitylength;discontinuitymaxlength;discontinuityproportion
Belgium/Flanders;Suske en Wiske - Het geheim van de Kalmhoutse heide;Belgium/Flanders;Europe;Europe;156;49;28;77;2.75;6;49.35897436;118;25;143;5.72;16;91.66666667;148;8;156;19.5;40;100;44;28;72;2.571428571;5;46.15384615;6;6;12;2;2;7.692307692
Belgium/Flanders;Suske en Wiske - Op het eiland Amoras;Belgium/Flanders;Europe;Europe;152;49;26;75;2.884615385;7;49.34210526;111;23;134;5.826086957;21;88.15789474;150;2;11;5.5;11;7.236842105;45;28;73;2.607142857;5;48.02631579;0;0;0;0;0;0
Belgium/Flanders;Suske en Wiske - Rikki en Wiske;Belgium/Flanders;Europe;Europe;152;62;30;92;3.066666667;8;60.52631579;112;25;137;5.48;19;90.13157895;147;4;152;38;53;100;54;32;86;2.6875;4;56.57894737;3;3;6;2;2;3.947368421
Belgium/Flanders;Thomas Pips - De rode Heks;Belgium/Flanders;Europe;Europe;308;107;44;151;3.431818182;18;49.02597403;258;39;297;7.615384615;20;96.42857143;304;4;10;2.5;10;3.246753247;95;42;137;3.261904762;11;44.48051948;1;1;2;2;2;0.649350649
Belgium/Flanders;W817 - Een keivet akke-fietje;Belgium/Flanders;Europe;Europe;152;51;23;74;3.217391304;12;48.68421053;120;17;137;8.058823529;16;90.13157895;141;10;151;15.1;44;99.34210526;46;21;67;3.19047619;11;44.07894737;8;8;16;2;2;10.52631579
Belgium/Flanders;Waterland - Onweer;Belgium/Flanders;Europe;Europe;137;27;18;45;2.5;4;32.84671533;112;13;125;9.615384615;36;91.24087591;117;15;132;8.8;30;96.35036496;22;16;38;2.375;4;27.73722628;9;6;15;2.5;3;10.94890511
Belgium/Flanders;Weer over naar jou;Belgium/Flanders;Europe;Europe;154;72;23;95;4.130434783;12;61.68831169;117;16;133;8.3125;38;86.36363636;138;8;72;9;25;46.75324675;63;20;83;4.15;9;53.8961039;5;4;9;2.25;3;5.844155844
Belgium/Flanders;Willeke - De draak van Kokoluput;Belgium/Flanders;Europe;Europe;304;81;55;136;2.472727273;4;44.73684211;264;27;291;10.77777778;44;95.72368421;295;9;35;3.888888889;15;11.51315789;71;51;122;2.392156863;4;40.13157895;5;5;10;2;2;3.289473684
China;1/2 Prince;China;Asia;Asia;100;22;14;36;2.571428571;5;36;88;7;96;13.71428571;69;96;39;21;60;2.857142857;7;60;11;8;19;2.375;4;19;6;5;11;2.2;3;11
China;Divine Melody;China;Asia;Asia;95;19;16;35;2.1875;5;36.84210526;64;10;74;7.4;24;77.89473684;65;11;76;6.909090909;15;80;15;12;27;2.25;5;28.42105263;19;10;29;2.9;5;30.52631579
China;Heaven Sword and Dragon Sabre  - The King of Gold Lion-Zhune Shai;China;Asia;Asia;161;40;26;66;2.538461538;5;40.99378882;130;16;64;4.266666667;12;39.7515528;153;7;160;22.85714286;42;99.37888199;34;23;57;2.47826087;4;35.40372671;3;3;6;2;2;3.726708075
China;Mega Dragon & Tiger Future Kung Fu Action;China;Asia;Asia;153;50;29;79;2.724137931;7;51.63398693;97;29;126;4.344827586;17;82.35294118;100;33;133;4.03030303;8;86.92810458;48;27;75;2.777777778;7;49.01960784;38;24;62;2.583333333;5;40.52287582
China;Saint Legend;China;Asia;Asia;314;111;64;175;2.734375;9;55.73248408;233;39;272;6.974358974;26;86.62420382;243;40;283;7.075;32;90.12738854;82;50;132;2.64;5;42.03821656;22;18;40;2.222222222;4;12.7388535
China;SNK vs. Capcom: SVC Chaos;China;Asia;Asia;150;40;29;69;2.379310345;4;46;134;9;143;15.88888889;50;95.33333333;102;29;131;4.517241379;17;87.33333333;28;20;48;2.4;4;32;9;8;17;2.125;3;11.33333333
China;Storm Riders;China;Asia;Asia;295;94;54;148;2.740740741;10;50.16949153;244;29;274;9.448275862;54;92.88135593;220;49;269;5.489795918;18;91.18644068;60;43;103;2.395348837;6;34.91525424;20;17;37;2.176470588;3;12.54237288
China;SVC Chaos: SNK vs Capcom ;China;Asia;Asia;88;20;15;35;2.333333333;3;39.77272727;74;8;82;10.25;28;93.18181818;50;22;72;3.272727273;10;81.81818182;11;9;20;2.222222222;3;22.72727273;8;8;16;2;2;18.18181818
China;The King of Fighters;China;Asia;Asia;158;41;29;70;2.413793103;5;44.30379747;138;13;151;11.61538462;46;95.56962025;133;20;153;7.65;36;96.83544304;31;24;55;2.291666667;4;34.81012658;10;10;20;2;2;12.65822785
China;The King of Fighters: 2003;China;Asia;Asia;164;48;34;82;2.411764706;5;50;148;13;163;12.53846154;54;99.3902439;122;29;151;5.206896552;20;92.07317073;40;29;69;2.379310345;5;42.07317073;11;11;22;2;2;13.41463415
China;Tiger x Crane Record of the Demon Master;China;Asia;Asia;121;27;17;44;2.588235294;5;36.36363636;117;4;48;16;26;39.66942149;54;19;73;3.842105263;9;60.33057851;14;10;24;2.4;4;19.83471074;2;2;4;2;2;3.305785124
China;Xiewang Lin Jie;China;Asia;Asia;341;107;53;160;3.018867925;8;46.92082111;304;30;334;11.13333333;39;97.94721408;242;81;323;3.987654321;23;94.72140762;83;51;134;2.62745098;6;39.29618768;16;16;32;2;2;9.384164223
China;Yin Zhi Shoumuren (Silver Gravekeeper);China;Asia;Asia;72;13;6;19;3.166666667;4;26.38888889;57;8;65;8.125;24;90.27777778;18;13;31;2.384615385;4;43.05555556;2;2;4;2;2;5.555555556;8;6;14;2.333333333;3;19.44444444
France;Abélard - Une brève histoire de poussière et de cendre;France;Europe;Europe;91;37;19;56;2.947368421;6;61.53846154;73;14;87;6.214285714;18;95.6043956;4;4;8;2;2;8.791208791;0;0;0;0;0;0;9;8;17;2.125;3;18.68131868
France;Alter Ego;France;Europe;Europe;156;52;24;76;3.166666667;12;48.71794872;113;21;134;6.380952381;21;85.8974359;148;8;73;9.125;33;46.79487179;45;22;67;3.045454545;7;42.94871795;7;7;14;2;2;8.974358974
France;Catman - Une aventure de Cliff Burton;France;Europe;Europe;310;113;62;175;2.822580645;6;56.4516129;181;60;241;4.016666667;17;77.74193548;263;36;299;8.305555556;27;96.4516129;94;55;149;2.709090909;6;48.06451613;39;32;71;2.21875;5;22.90322581
France;Child of the Storm;France;Europe;Europe;202;32;22;54;2.454545455;5;26.73267327;163;27;190;7.037037037;26;94.05940594;188;11;200;18.18181818;56;99.00990099;30;23;53;2.304347826;4;26.23762376;7;6;13;2.166666667;3;6.435643564
France;Donjon - La Fin du Donjon;France;Europe;Europe;544;203;98;301;3.071428571;13;55.33088235;449;54;503;9.314814815;43;92.46323529;219;22;243;11.04545455;58;44.66911765;73;37;110;2.972972973;13;20.22058824;41;34;75;2.205882353;4;13.78676471
France;Final Incal;France;Europe;Europe;410;96;62;158;2.548387097;5;38.53658537;246;67;315;4.632352941;22;76.82926829;378;27;405;15;49;98.7804878;67;50;117;2.34;5;28.53658537;26;24;50;2.083333333;3;12.19512195
France;La Vie En Rose - La Dernière Pluie;France;Europe;Europe;151;51;22;73;3.318181818;8;48.34437086;83;21;104;4.952380952;21;68.87417219;132;18;150;8.333333333;27;99.33774834;28;15;43;2.866666667;7;28.47682119;7;7;14;2;2;9.271523179
France;La Voyageuse de Petite Ceinture;France;Europe;Europe;306;179;42;221;5.261904762;19;72.22222222;168;38;206;5.421052632;16;67.32026144;287;10;145;14.5;46;47.38562092;107;46;153;3.326086957;10;50;12;6;18;3;4;5.882352941
France;Le Cahier à Fleurs - Mauvaise Orchestration;France;Europe;Europe;306;47;38;85;2.236842105;4;27.77777778;210;59;269;4.559322034;16;87.90849673;224;52;276;5.307692308;30;90.19607843;43;36;79;2.194444444;4;25.81699346;44;33;77;2.333333333;5;25.16339869
France;Le Muret;France;Europe;Europe;146;92;20;112;5.6;14;76.71232877;96;16;112;7;19;76.71232877;136;7;143;20.42857143;47;97.94520548;65;20;85;4.25;14;58.21917808;1;1;2;2;2;1.369863014
France;Le Soldat;France;Europe;Europe;368;105;48;153;3.1875;8;41.57608696;308;44;352;8;20;95.65217391;346;16;366;22.875;71;99.45652174;92;51;143;2.803921569;8;38.85869565;5;4;9;2.25;3;2.445652174
France;LoRaNnE - Frisco;France;Europe;Europe;318;86;39;125;3.205128205;11;39.3081761;211;42;253;6.023809524;23;79.55974843;261;37;298;8.054054054;44;93.71069182;58;35;93;2.657142857;7;29.24528302;23;17;40;2.352941176;6;12.57861635
France;Marsupilami: Sur la piste du Marsupilami;France;Europe;Europe;529;194;76;270;3.552631579;15;51.03969754;366;79;445;5.632911392;16;84.12098299;33;30;63;2.1;3;11.90926276;0;0;0;0;0;0;104;57;161;2.824561404;8;30.43478261
France;Metabarons Genesis: Castaka;France;Europe;Europe;297;42;29;71;2.448275862;6;23.90572391;204;54;258;4.777777778;22;86.86868687;262;18;195;10.83333333;28;65.65656566;35;23;58;2.52173913;6;19.52861953;18;13;31;2.384615385;4;10.43771044
France;Notre Dame - Le Jour des Fous;France;Europe;Europe;314;37;22;59;2.681818182;11;18.78980892;127;17;144;8.470588235;32;45.85987261;265;34;215;6.323529412;42;68.47133758;57;30;87;2.9;11;27.70700637;20;13;33;2.538461538;6;10.50955414
France;Percy Shelley;France;Europe;Europe;146;32;18;50;2.777777778;7;34.24657534;117;12;129;10.75;45;88.35616438;76;27;103;3.814814815;13;70.54794521;21;11;32;2.909090909;6;21.91780822;16;11;27;2.454545455;4;18.49315068
France;Pietrolino;France;Europe;Europe;147;20;13;33;2.538461538;4;22.44897959;138;9;66;8.25;20;44.89795918;121;22;143;6.5;35;97.27891156;14;12;26;2.166666667;3;17.68707483;3;3;6;2;2;4.081632653
France;Screaming Planet - Eucharist Sun;France;Europe;Europe;54;18;10;28;2.8;4;51.85185185;30;8;38;4.75;9;70.37037037;50;4;54;13.5;27;100;15;7;22;3.142857143;4;40.74074074;3;3;6;2;2;11.11111111
France;Screaming Planet - The Guilt;France;Europe;Europe;94;29;17;46;2.705882353;8;48.93617021;68;7;75;10.71428571;26;79.78723404;84;4;88;22;41;93.61702128;26;14;40;2.857142857;8;42.55319149;5;3;8;2.666666667;4;8.510638298
France;Screaming Planet - The Invasion;France;Europe;Europe;158;40;27;67;2.481481481;6;42.40506329;111;22;133;6.045454545;16;84.17721519;149;8;157;19.625;47;99.36708861;37;26;63;2.423076923;5;39.87341772;5;5;10;2;2;6.329113924
France;Screaming Planet - The Last Word;France;Europe;Europe;36;5;3;8;2.666666667;4;22.22222222;14;5;19;3.8;7;52.77777778;31;4;35;8.75;12;97.22222222;3;3;6;2;2;16.66666667;1;1;2;2;2;5.555555556
France;Skipper - Somalia;France;Europe;Europe;151;32;16;48;3;8;31.78807947;111;16;127;7.9375;18;84.10596026;143;5;149;29.8;70;98.67549669;25;13;38;2.923076923;8;25.16556291;2;1;3;3;3;1.986754967
France;Trans-Amazonie - La Chute du Masque;France;Europe;Europe;149;25;15;40;2.666666667;5;26.84563758;91;25;116;4.64;21;77.85234899;144;5;149;30;63;100;19;13;32;2.461538462;5;21.47651007;3;3;6;2;2;4.026845638
France;Tsunami;France;Europe;Europe;93;19;8;27;3.375;8;29.03225806;57;7;64;9.142857143;27;68.8172043;79;7;86;12.28571429;37;92.47311828;7;5;12;2.4;3;12.90322581;11;8;19;2.375;4;20.43010753
France;Une Folie Très Ordinaire;France;Europe;Europe;182;68;31;99;3.193548387;8;54.3956044;111;27;138;5.111111111;22;75.82417582;174;5;28;5.6;11;15.38461538;44;25;69;2.76;6;37.91208791;3;3;6;2;2;3.296703297
Germany; Larry Potter;Germany;Europe;Europe;152;86;25;111;4.44;18;73.02631579;126;18;145;8.055555556;53;95.39473684;139;10;150;15;73;98.68421053;77;25;102;4.08;13;67.10526316;0;0;0;0;0;0
Germany;Die Band;Germany;Europe;Europe;310;69;34;103;3.029411765;7;33.22580645;204;46;250;5.434782609;16;80.64516129;272;29;151;5.206896552;17;48.70967742;57;29;86;2.965517241;7;27.74193548;19;15;34;2.266666667;4;10.96774194
Germany;Fix und Foxi;Germany;Europe;Europe;151;42;23;65;2.826086957;10;43.04635762;125;17;142;8.352941176;26;94.0397351;140;10;151;15.1;62;100;35;21;56;2.666666667;8;37.08609272;3;3;6;2;2;3.973509934
Germany;König Kobra;Germany;Europe;Europe;155;34;24;58;2.416666667;5;37.41935484;108;19;127;6.684210526;21;81.93548387;95;34;129;3.794117647;10;83.22580645;25;19;44;2.315789474;5;28.38709677;25;9;34;3.777777778;8;21.93548387
