country_OEL;fulltitle;Situational;Averagelength;Proportion
Korea;Aegis;Time;6.791666667;95.88235294
Korea;Boy of the Female Wolf;Time;4.363636364;93.2038835
Korea;Emperor's Castle;Time;3.708333333;69.53125
Korea;He was Cool;Time;11.16666667;93.70629371
Korea;In The Starlight;Time;4.303030303;87.11656442
Korea;Invincible Yeonbyeongeol;Time;14.4;98.63013699
Korea;Kingdom of the Winds;Time;5.153846154;98.52941176
Korea;Kwaidan;Time;5.125;89.13043478
Korea;Lie to Me;Time;5.2;93.97590361
Korea;The Breaker New Waves;Time;3.653846154;93.1372549
Korea;The Color of Earth;Time;10.36363636;100
Korea;The Great Catsby;Time;4.347826087;71.42857143
Korea;Zero/Six;Time;4.222222222;80.28169014
Korea;Zippy Ziggy;Time;10.57142857;94.87179487
Netherlands;Agent 327 - Dossier zevenslaper;Time;10.23076923;43.75
Netherlands;Alle verhalen van Olie B. Bommel en Tom Poes - Zoals een Bommel betaamt;Time;12.5;100
Netherlands;Alleen op de wereld;Time;155;100
Netherlands;Ambrosius - De gefleste geesten;Time;11.75;30.12820513
Netherlands;Baron van Tast tot Zeveren;Time;30;100
Netherlands;Blook - De supermolekuul;Time;26;49.05660377
Netherlands;Claudia Brucken - Operatie Sneeuw;Time;14.76190476;100
Netherlands;De Argonautjes - De Onderwereld;Time;7.333333333;28.57142857
Netherlands;De avonturen van Douwe Dabbert - Florijn de Flierefluiter;Time;5.5;14.1025641
Netherlands;De avonturen van Johan en Stefan - De Zondebokken;Time;21;98.65771812
Netherlands;De avonturen van Pinkie Pienter - Koning Neptunus helpt Pinkie;Time;10;46.05263158
Netherlands;De avonturen van Pinkie Pienter - Vreemde bezoekers uit het heelal;Time;25.16666667;100
Netherlands;De Familie Doorzon - Het geslacht doorzon;Time;11.76923077;100
Netherlands;De Nakomertjes - Nooit meer uitslapen!;Time;8.105263158;100
Netherlands;De ontdekking;Time;43.4;71.85430464
Netherlands;De Ruyter - De Engelsen komen!;Time;7.947368421;100
Netherlands;Dick Bos;Time;100;100
Netherlands;Dik van Dieren en zo - De eerste 11 zaken;Time;29;96.66666667
Netherlands;Don't panic!;Time;10.13333333;100
Netherlands;Een avontuur van Elno - Déjà vu in sMon-Thang;Time;6.208333333;99.33333333
Netherlands;Een avontuur van Roel Dijkstra - De superspits;Time;11;36.18421053
Netherlands;Eric de Noorman - De Steen van Atlantis;Time;3.285714286;15.13157895
Netherlands;Franka - Gangsterfilm;Time;12.15384615;99.37106918
Netherlands;In The Pines: 5 murder ballads;Time;19.85714286;100
Netherlands;Jan, Jans en de kinderen;Time;8.458333333;99.83606557
Netherlands;Je geld of je leven;Time;114;100
Netherlands;Joop Klepzeiker;Time;9.058823529;100
Netherlands;Kapitein Rob  - De avonturen van het Zeilschip de Vrijheid;Time;9.3125;98.02631579
Netherlands;Mario en de toverpluisbloem;Time;16.88888889;100
Netherlands;Noortje - Altijd opgeruimd;Time;7.947368421;100
Netherlands;Panda - De olieboertjes;Time;70;100
Netherlands;Quaco - Leven in slavernij;Time;15.6;51.65562914
Netherlands;Rood - Feestje met de regen;Time;4.472222222;100
Netherlands;Sjors & Sjimmie  - Van dik hout;Time;10.78571429;100
Netherlands;Sjors en Sjimmie - Bij de Arabieren;Time;8.058823529;100
Netherlands;Sjors en Sjimmie - De geheimzinnige duikboot;Time;9;98.70967742
Netherlands;Sjors, voorzitter van de Rebellenclub;Time;11.84615385;100
Netherlands;Tom Poes - De liefdadiger;Time;25;100
Netherlands;Tom Poes Weekblad 3 - Tom Poes en de geest in de fles;Time;13.2;97.05882353
Netherlands;Tom Poes Weekblad 3 - Tom Poes ontmoet een oude bekende;Time;24.33333333;98.64864865
Netherlands;Zonder Filter;Time;5.142857143;28.34645669
OEL manga;Assemby;Time;5.407407407;86.9047619
OEL manga;Blue Monday;Time;13.20833333;97.83950617
OEL manga;Chronicles of the Universe;Time;5.736842105;81.64794007
OEL manga;Gigantor - Heart of Steel, Soul of Iron;Time;4.257142857;85.14285714
OEL manga;Gold Digger;Time;12.36363636;98.55072464
OEL manga;Legends From Darkwood;Time;8.645833333;90.02169197
OEL manga;Luftmatte 1946;Time;6.086956522;86.41975309
OEL manga;Myth Warriors;Time;6.090909091;90.54054054
OEL manga;Ninja High School Hawaii;Time;10.61904762;97.37991266
OEL manga;Once in a Blue Moon;Time;7.416666667;95.69892473
OEL manga;OZ The Manga - Council with the Munchkins;Time;5.7;87.24489796
OEL manga;Pride and Prejudice;Time;5.866666667;100
OEL manga;Scott Pilgrim vs. The World;Time;8.333333333;99.43181818
OEL manga;Street Fighter Classic;Time;9.6;94.73684211
OEL manga;The Agents;Time;5.972222222;84.64566929
OEL manga;Tokyo Knights;Time;4.857142857;89.47368421
OEL manga;Twilight X;Time;8.222222222;92.5
Sweden;Bamse: världens starkaste björn - Bamse och Årstidsnyckeln;Time;6.444444444;92.8
Sweden;Bamse: världens starkaste björn - Bamse och Farmors Kista;Time;5.142857143;83.72093023
Sweden;Bamse: världens starkaste björn - Bamse och Jätten Gorm;Time;5.416666667;90.27777778
Sweden;Bamse: världens starkaste björn - Bamse och Trollkarlens Smycke;Time;4.388888889;82.29166667
Sweden;Bamse: världens starkaste björn - Bamse: Sandslottstävlingen;Time;3.857142857;84.375
Sweden;Bamse: världens starkaste björn - Den Mystiska Bilen;Time;6.125;87.5
Sweden;Bamse: världens starkaste björn - Drullevarg Matar Fåglarna (fastän han inte vill);Time;5.363636364;86.76470588
Sweden;Bamse: världens starkaste björn - Fixare-sorkarna på Stallstigen;Time;4.8;92.30769231
Sweden;Bamse: världens starkaste björn - Katten Jansen och Husmusen Hjälper Till;Time;9;100
Sweden;Bamse: världens starkaste björn - Krosus Gladland II;Time;8.1;92.04545455
Sweden;Bamse: världens starkaste björn - Lille Skutt I Fotbolls-VM;Time;4.1875;80.72289157
Sweden;Bamse: världens starkaste björn - Mini-Hop och Barnvakten;Time;4.111111111;88.0952381
Sweden;Bamse: världens starkaste björn - Om Fotboll;Time;2;25
Sweden;Bamse: världens starkaste björn - Om Sandslott;Time;3;60
Sweden;Bamse: världens starkaste björn - Pellefant: Snöballskriget;Time;4.6;71.875
Sweden;Bamse: världens starkaste björn - Professor Murmeldjur har Bråttom;Time;4.142857143;96.66666667
Sweden;Bamse: världens starkaste björn - Skalman och Mullvalen;Time;4.705882353;81.63265306
Sweden;Bamse: världens starkaste björn - Sorktyg i Skogen II;Time;5.714285714;95.23809524
Sweden;Bamse: världens starkaste björn - Teddy Blir Detektiv;Time;4.888888889;82.24299065
Sweden;Bamse: världens starkaste björn - Tidsresan: Bamse och de Mystiska Strålarna ;Time;5.642857143;94.04761905
Sweden;Bamse: världens starkaste björn - Vargen och Klockkuppen;Time;5.285714286;78.72340426
Sweden;Hälge: Varning för älgskador!;Time;3.321428571;73.22834646
Sweden;Herman Hedning;Time;6.4;83.11688312
USA;1;Time;9.142857143;92.08633094
USA;Action Comics - The Menace of Metallo;Time;3.388888889;84.72222222
USA;Action Comics - The Supergirl from Krypton!;Time;3.65625;74.05063291
USA;Amazing Spider-man - Back in Black;Time;7.055555556;94.07407407
USA;Amazing Spider-Man - Shaw's Gambit;Time;7;95.75471698
USA;Andre the Giant: Life and Legend;Time;9.666666667;88.54961832
USA;Arch Enemies One Hero. One Villan. On Apartment;Time;7.652173913;95.65217391
USA;B.P.R.D. - The Black Flame;Time;11.52941176;96.07843137
USA;Batman The Dark Knight - A Rush of Blood;Time;7.580645161;99.15611814
USA;Batman:The Killing Joke;Time;10.91666667;98.4962406
USA;Black Hood - Crime Goes to College;Time;8;94.11764706
USA;Black Hood - The Case of the Medical Murderer;Time;4;78.68852459
USA;Black Panther - Back to Africa: Part one;Time;7.481481481;97.11538462
USA;Blankets;Time;6.368421053;94.53125
USA;Blessed Thistle;Time;14.33333333;98.62385321
USA;Blue Beetle - Joan;Time;0;0
USA;Blue Beetle - The Man Who Stole 24 Hours;Time;4.818181818;94.64285714
USA;Blue Beetle - The Masks of Mystery;Time;6.125;87.5
USA;Boxers;Time;3.444444444;68.38235294
USA;Brain Boy - Pirates of the Air;Time;5.416666667;84.41558442
USA;Captain America  - Blood Stone;Time;12.71428571;96.73913043
USA;Captain America  - U.S. Agent, Siege, Night of the Scourge part one;Time;6;81.81818182
USA;Captain Atom - The Gremlins from the Planet Blue;Time;3.85;74.75728155
USA;Captain Marvel Adventures - Capt. Marvel -Out West-;Time;22.25;97.8021978
USA;Captain Marvel Adventures - Captain Marvel Battles the Vampire;Time;21.25;94.44444444
USA;Captain Marvel Adventures - Captain Marvel Vs. Z;Time;11.625;96.875
USA;Captain Marvel Adventures - The Monsters of Saturn;Time;7.692307692;95.23809524
USA;"Captain Midnight - ""Secret Sub""";Time;7.142857143;92.59259259
USA;Captain Midnight - The Murder Trap;Time;9.181818182;91.81818182
USA;Constantine - The Spark and the Flame Part 1: The Price We Pay;Time;8.25;89.18918919
USA;Daredevil - Guardian Devil;Time;8.4;94.73684211
USA;Daredevil - The Mysterious Masked Matador;Time;7.8;90
USA;Darkness Resurrection;Time;8.761904762;89.75609756
USA;Deadpool - Bullseye part two;Time;13.14285714;98.92473118
USA;Detective Comics - The Laughing Fish;Time;11.05263158;92.10526316
USA;DMZ Body of a Journalist;Time;6.76;93.88888889
USA;Doll Man - Monster of the Mire;Time;29;96.66666667
USA;Doll Man - The Troll;Time;9.4;95.91836735
USA;Fantastic Four - Skyfall;Time;10.5;92.30769231
USA;Far Arden;Time;2.821428571;66.94915254
USA;Fierce;Time;6.896551724;88.49557522
USA;Green Lantern - No evil shall escape my sight;Time;7.153846154;89.42307692
USA;Green Lantern Corps - Sacrifice of Will;Time;7.857142857;91.66666667
USA;Green Lantern: Rebirth - Rings;Time;11.04347826;97.69230769
USA;Heck;Time;2.512820513;61.63522013
USA;Justice League of America - The Great Identity Crisis!;Time;6.709677419;95.41284404
USA;Lady Luck - Charity Ball;Time;7.142857143;96.15384615
USA;Lady Luck - Pirate Mansion;Time;8.222222222;93.67088608
USA;Lady Luck - The Count;Time;16;100
USA;Lady Luck - The Pyramid Club;Time;5.1;87.93103448
USA;Lars of Mars -  The Terror Weapon;Time;12;98.63013699
USA;Lars of Mars - The Crucial Game;Time;3.727272727;93.18181818
USA;Lars of Mars - The Earthshaker;Time;6;85.71428571
USA;Lars of Mars - The Terror Weapon;Time;6.888888889;84.93150685
USA;Nick Fury Agent of S.H.I.E.L.D. - Who is Scorpio;Time;7.869565217;92.82051282
USA;NorthWest Passage;Time;6.923076923;98.9010989
USA;Plastic Man - The Expander Device;Time;8.181818182;93.75
USA;Rising Stars -  Voices of the Dead Bright;Time;8.714285714;98.91891892
USA;Same Difference;Time;14.16666667;98.26589595
USA;Savage Dragon - The End;Time;7.928571429;97.36842105
USA;Set to Sea;Time;14.22222222;95.52238806
USA;Shackleton Antarctic Odyssey;Time;3.12;54.92957746
USA;Star Wars Empire;Time;5.967741935;96.35416667
USA;Sumo;Time;7.428571429;87.39495798
USA;Superman Batman Absolute Power - Absolute Power;Time;6.6;92.95774648
USA;The Avengers - The Wrath of the Weathermen;Time;6.0625;87.38738739
USA;The Blue Beetle - The MadMen;Time;4.782608696;88
